,Unnamed: 0,person_scene,series_num,num_lines,num_words
321,321,Leonard,Series 01,1,7
322,322,Penny,Series 01,1,1
323,323,Sheldon,Series 01,1,10
324,324,Penny,Series 01,1,1
325,325,Sheldon,Series 01,1,6
326,326,Penny,Series 01,1,1
327,327,Sheldon,Series 01,2,20
328,328,Penny,Series 01,1,12
329,329,Howard,Series 01,2,20
330,330,Penny,Series 01,1,4
331,331,(sings),Series 01,2,17
332,332,Sheldon,Series 01,1,30
334,334,Leonard,Series 01,1,7
335,335,Howard,Series 01,1,6
336,336,Leonard,Series 01,1,18
337,337,Sheldon,Series 01,1,11
338,338,Raj,Series 01,1,4
339,339,Sheldon,Series 01,1,9
340,340,Leonard,Series 01,1,3
341,341,Sheldon,Series 01,2,40
342,342,Leonard,Series 01,2,19
343,343,Howard,Series 01,1,7
344,344,Penny,Series 01,1,2
345,345,Leonard,Series 01,1,3
346,346,Penny,Series 01,1,3
347,347,Leonard,Series 01,1,1
350,350,Penny,Series 01,1,5
351,351,Leonard,Series 01,4,23
352,352,Penny,Series 01,2,17
353,353,Leonard,Series 01,1,10
354,354,Penny,Series 01,2,25
355,355,Leonard,Series 01,1,1
356,356,Penny,Series 01,3,28
357,357,Howard,Series 01,1,5
358,358,Penny,Series 01,1,3
359,359,Howard,Series 01,1,13
360,360,Penny,Series 01,1,4
361,361,Howard,Series 01,1,4
362,362,Penny,Series 01,1,8
363,363,Sheldon,Series 01,1,1
364,364,Penny,Series 01,1,11
365,365,Sheldon,Series 01,1,14
366,366,Howard,Series 01,1,14
367,367,Leonard,Series 01,1,9
368,368,Penny,Series 01,1,26
369,369,Leonard,Series 01,1,3
370,370,Penny,Series 01,2,8
371,371,Leonard,Series 01,1,2
372,372,Penny,Series 01,1,1
373,373,Leonard,Series 01,1,23
374,374,Penny,Series 01,1,9
375,375,Sheldon,Series 01,1,4
376,376,Penny,Series 01,1,24
377,377,together,Series 01,3,5
378,378,Sheldon,Series 01,1,9
379,379,Penny,Series 01,1,6
380,380,Sheldon,Series 01,5,59
381,381,Leonard,Series 01,2,7
382,382,Sheldon,Series 01,3,34
383,383,Leonard,Series 01,1,19
384,384,Sheldon,Series 01,1,38
385,385,Howard,Series 01,1,16
386,386,Sheldon,Series 01,1,18
387,387,Penny,Series 01,1,8
388,388,Leonard,Series 01,1,20
389,389,Sheldon,Series 01,2,8
390,390,Raj,Series 01,1,5
392,392,Leonard,Series 01,2,43
393,393,Sheldon,Series 01,2,4
394,394,Leonard,Series 01,1,2
395,395,Sheldon,Series 01,1,16
396,396,Leonard,Series 01,3,52
397,397,Sheldon,Series 01,1,5
398,398,Leonard,Series 01,1,5
399,399,Sheldon,Series 01,1,12
400,400,Leonard,Series 01,3,35
401,401,Sheldon,Series 01,1,2
402,402,(snarkily),Series 01,4,17
403,403,Sheldon,Series 01,1,7
404,404,Leonard,Series 01,1,18
405,405,Sheldon,Series 01,1,7
406,406,Sheldon,Series 01,1,22
407,407,Leonard,Series 01,1,8
408,408,Sheldon,Series 01,1,8
409,409,Leonard,Series 01,2,21
410,410,Leonard,Series 01,2,16
411,411,Sheldon,Series 01,1,12
413,413,Sheldon,Series 01,3,10
414,414,Leonard,Series 01,1,2
415,415,Sheldon,Series 01,1,13
416,416,Leonard,Series 01,1,6
417,417,Sheldon,Series 01,4,56
418,418,Leonard,Series 01,1,23
419,419,Sheldon,Series 01,1,1
420,420,Leonard,Series 01,2,25
421,421,Sheldon,Series 01,1,13
422,422,Leonard,Series 01,1,5
423,423,Sheldon,Series 01,1,2
424,424,Leonard,Series 01,1,4
425,425,Sheldon,Series 01,1,2
426,426,Leonard,Series 01,1,6
427,427,Sheldon,Series 01,1,13
428,428,Leonard,Series 01,1,14
429,429,Sheldon,Series 01,1,25
430,430,Leonard,Series 01,1,7
431,431,Sheldon,Series 01,1,8
432,432,(entering),Series 01,1,2
433,433,Leonard,Series 01,1,13
434,434,Penny,Series 01,2,9
435,435,Sheldon,Series 01,1,3
436,436,Leonard,Series 01,1,1
437,437,Sheldon,Series 01,1,1
438,438,Leonard,Series 01,1,1
439,439,Sheldon,Series 01,1,1
440,440,Leonard,Series 01,1,8
441,441,Penny,Series 01,1,15
442,442,Sheldon,Series 01,2,21
443,443,Penny,Series 01,1,5
444,444,Leonard,Series 01,1,4
445,445,Penny,Series 01,1,5
446,446,Leonard,Series 01,1,7
448,448,Leonard,Series 01,1,1
450,450,Leonard,Series 01,1,2
452,452,Leonard,Series 01,1,1
453,453,Sheldon,Series 01,1,4
454,454,Leonard,Series 01,1,20
455,455,Sheldon,Series 01,2,35
456,456,Leonard,Series 01,1,19
457,457,Sheldon,Series 01,1,7
458,458,Leonard,Series 01,2,19
459,459,Sheldon,Series 01,2,8
460,460,Leonard,Series 01,1,8
461,461,Sheldon,Series 01,1,9
462,462,Leonard,Series 01,1,1
463,463,Sheldon,Series 01,2,34
464,464,Leonard,Series 01,2,6
465,465,Sheldon,Series 01,1,8
466,466,likewise),Series 01,2,10
467,467,Sheldon,Series 01,1,8
468,468,Leonard,Series 01,1,7
469,469,Sheldon,Series 01,1,11
470,470,Leonard,Series 01,1,4
472,472,Sheldon,Series 01,1,1
473,473,Leonard,Series 01,2,1
474,474,Sheldon,Series 01,2,15
475,475,Leonard,Series 01,2,21
476,476,Sheldon,Series 01,1,1
477,477,Leonard,Series 01,1,2
478,478,Sheldon,Series 01,1,25
479,479,Leonard,Series 01,1,17
480,480,Sheldon,Series 01,1,8
481,481,Leonard,Series 01,1,21
482,482,Sheldon,Series 01,1,5
483,483,Leonard,Series 01,1,8
484,484,Sheldon,Series 01,3,27
485,485,off),Series 01,1,4
486,486,Leonard,Series 01,1,3
487,487,off),Series 01,1,4
488,488,Leonard,Series 01,1,7
489,489,Sheldon,Series 01,1,12
490,490,off),Series 01,1,1
491,491,Leonard,Series 01,1,7
492,492,Sheldon,Series 01,1,6
493,493,(entering),Series 01,1,11
494,494,Leonard,Series 01,1,5
495,495,Sheldon,Series 01,1,11
496,496,Penny,Series 01,1,5
497,497,Leonard,Series 01,1,5
498,498,Penny,Series 01,1,7
499,499,Leonard,Series 01,1,9
500,500,Penny,Series 01,1,7
501,501,Sheldon,Series 01,3,28
502,502,Penny,Series 01,1,9
503,503,Sheldon,Series 01,2,21
504,504,Penny,Series 01,1,1
505,505,Leonard,Series 01,1,43
506,506,Penny,Series 01,1,4
507,507,Leonard,Series 01,1,7
508,508,Sheldon,Series 01,2,54
509,509,Leonard,Series 01,2,17
510,510,Sheldon,Series 01,1,4
511,511,Leonard,Series 01,1,1
512,512,Sheldon,Series 01,2,30
513,513,door),Series 01,1,1
514,514,Sheldon,Series 01,3,52
516,516,Penny,Series 01,2,57
517,517,talk),Series 01,3,18
518,518,Penny,Series 01,3,43
519,519,(internally),Series 01,5,42
520,520,Penny,Series 01,1,34
521,521,Penny,Series 01,2,30
522,522,(internally),Series 01,3,10
523,523,Penny,Series 01,4,17
524,524,(internally),Series 01,3,6
526,526,mat),Series 01,3,8
527,527,Leonard,Series 01,2,5
528,528,Howard,Series 01,1,4
529,529,Sheldon,Series 01,1,7
530,530,Howard,Series 01,1,2
531,531,(entering),Series 01,3,14
532,532,Howard,Series 01,1,7
533,533,Raj,Series 01,1,9
534,534,Leonard,Series 01,1,10
535,535,Raj,Series 01,2,24
536,536,Howard,Series 01,1,17
537,537,Raj,Series 01,1,4
539,539,Penny,Series 01,1,1
540,540,Leonard,Series 01,1,1
541,541,Penny,Series 01,1,4
542,542,Leonard,Series 01,6,92
543,543,Penny,Series 01,1,1
544,544,Leonard,Series 01,1,1
545,545,him),Series 01,4,22
547,547,Leonard,Series 01,1,4
548,548,Sheldon,Series 01,1,1
549,549,Leonard,Series 01,1,5
550,550,Sheldon,Series 01,1,1
551,551,Penny,Series 01,2,30
552,552,Leonard,Series 01,2,12
553,553,Sheldon,Series 01,1,7
554,554,Raj),Series 01,1,7
555,555,Leonard,Series 01,1,1
556,556,Howard,Series 01,2,25
557,557,Penny,Series 01,1,9
558,558,Leonard,Series 01,1,22
559,559,Sheldon,Series 01,1,7
560,560,Leonard,Series 01,1,4
561,561,Sheldon,Series 01,2,11
562,562,ear),Series 01,1,8
563,563,Penny,Series 01,2,5
564,564,Sheldon,Series 01,2,9
565,565,Leonard,Series 01,1,6
566,566,Howard,Series 01,1,15
567,567,Penny,Series 01,1,6
568,568,Howard,Series 01,2,21
569,569,Leonard,Series 01,1,16
570,570,Sheldon,Series 01,2,18
571,571,Penny,Series 01,2,16
572,572,Leonard,Series 01,3,22
573,573,Sheldon,Series 01,1,10
574,574,Howard,Series 01,1,39
575,575,Leonard,Series 01,1,6
576,576,Howard,Series 01,1,1
577,577,Leonard,Series 01,2,5
578,578,Penny,Series 01,1,7
579,579,Teleplay,Series 01,1,4
580,580,Story,Series 01,1,4
582,582,Howard,Series 01,2,15
583,583,Sheldon,Series 01,1,2
584,584,Raj,Series 01,1,1
585,585,Leonard,Series 01,1,13
586,586,Howard,Series 01,1,21
587,587,Leonard,Series 01,1,9
588,588,Sheldon,Series 01,2,3
589,589,Howard,Series 01,1,5
590,590,Raj,Series 01,2,12
591,591,Howard,Series 01,1,11
592,592,Leonard,Series 01,1,3
593,593,Howard,Series 01,1,8
594,594,Leonard,Series 01,1,12
595,595,Raj,Series 01,2,13
596,596,Leonard,Series 01,1,10
597,597,Raj,Series 01,1,5
598,598,Howard,Series 01,2,11
599,599,Sheldon,Series 01,1,7
600,600,Leonard,Series 01,1,6
601,601,Sheldon,Series 01,1,9
602,602,Howard,Series 01,1,3
603,603,Leonard,Series 01,2,6
604,604,Sheldon,Series 01,2,2
605,605,Leonard,Series 01,2,3
606,606,Raj,Series 01,1,9
607,607,Leonard,Series 01,1,8
